word,fre
amusing,1
analyses,1
analysis,12
analytically,1
analyze,2
analyzed,1
anatomy,1
ancestors,4
ancestorsnumbering,1
ancestral,1
ancestry,3
ancient,9
andorra,1
andy,2
anecdotal,1
angelina,1
animal,6
animals,5
aniston,2
annals,1
annette,1
announced,3
announcement,1
annoyed,1
annual,2
another,19
anshwer,3
answer,68
answering,1
answers,20
anthony,2
anthropologist,5
anthropologists,3
anthropology,6
antibribery,1
anticipate,2
anticipation,1
antipatent,1
antique,1
antismoking,1
antithetical,1
antonin,2
anxiety,1
anxious,3
anyone,6
anything,6
anytime,1
anyway,3
anywayperetti,1
anywhere,4
apart,4
apartment,1
apparent,3
apparently,4
appeal,2
appeals,1
appear,6
appeared,7
appearing,1
appears,3
appetites,1
apple,1
applicable,1
applicant,3
applicants,2
application,4
applications,2
applied,3
applies,2
apply,2
applying,2
appointed,1
appointment,4
appreciated,1
appreciation,5
appreciative,1
apprehension,1
approach,10
approachable,1
approached,1
appropriate,1
approval,7
approve,1
approved,1
approving,1
approximately,1
april,1
arabic,1
arbiters,1
arc,2
archaeological,6
archaeologist,2
archaeologists,8
architecture,2
archives,1
area,2
areas,6
argue,4
argued,5
argues,6
argument,8
arguments,1
arise,2
aristocratic,3
aristocrats,1
aristotle,2
arizona,9
armed,1
arms,1
army,1
arose,2
around,19
aroused,3
arousing,1
arrange,1
arranged,1
arrangement,2
arranging,3
array,1
arrest,3
arrestee,2
arrive,1
arrived,1
arrogant,1
art,1
arthur,1
article,4
articles,2
articulate,1
artifacts,1
artificial,2
artist,4
artistic,1
artloving,1
arts,6
ascribe,1
asia,1
aside,2
ask,3
asked,6
asking,2
asks,2
aspect,3
aspects,2
aspirations,1
aspiring,1
assemble,1
assert,1
asserted,1
asserting,1
assertion,1
assess,5
assessing,1
assessment,1
assessments,1
asset,5
assets,12
assigned,1
assimilation,1
assistant,3
associated,3
association,13
associationit,1
associations,4
assume,2
assumes,2
assumption,4
assurance,1
asteroid,1
astonishing,1
astronomers,3
astronomical,1
astronomy,7
atall,1
ate,1
atemporary,1
athens,2
atlantic,2
atmosphere,3
attached,1
attachment,1
attack,1
attaining,1
attempt,2
attempted,3
attempts,2
attend,1
attended,1
attention,18
attitude,15
attitudes,2
attorney,1
attract,4
attracted,3
attraction,1
attractions,1
attractive,4
attribute,1
attributed,2
auckland,1
audience,1
audiences,2
augmented,1
august,1
australia,2
australian,1
author,44
authorities,4
authority,5
authorization,1
authorized,3
authors,5
authorsing,1
autobiography,2
automobile,2
automotiveassembly,1
autopilot,1
availability,3
available,6
average,14
avery,1
avoid,9
avoided,1
avoiding,3
avon,1
await,1
awaken,1
award,1
awarded,1
awards,6
aware,3
awareness,3
away,6
awkward,1
azentgyorgyi,1
aztec,1
b,436
babies,4
baby,2
babycenter,1
babysize,1
bachelor,2
back,14
backdrop,1
backed,1
background,7
backgrounds,2
backloaded,1
backward,1
backyard,2
bacterial,1
bad,6
bags,1
baier,1
balance,3
baldassare,1
ban,3
band,1
bank,8
bankers,4
banking,2
banks,8
bans,2
bar,5
barber,1
barely,3
bargain,1
bargaining,1
bargains,1
barrier,2
based,14
basic,12
basis,5
basketball,2
battles,1
bay,2
bc,1
bear,1
bears,1
beat,1
beaumont,2
beautiful,1
beautifully,1
beautify,1
beauty,6
beavers,1
became,11
become,17
becomebut,1
becomes,7
becoming,3
bed,1
bedrock,1
beethoven,6
befriend,1
began,3
begin,6
beginning,3
beginnings,1
begun,3
behalf,1
behave,2
behavior,8
behavioral,1
behaviors,2
behaviour,1
behavioural,6
behind,8
beings,2
belgium,2
belief,4
beliefs,4
believe,14
believed,4
believes,9
belong,1
belonged,1
belonging,1
belongs,1
belts,1
beltwhat,1
beneath,1
benefactors,2
beneficial,1
benefit,7
benefited,1
benefits,14
bernard,1
beside,1
besides,4
best,28
bestknown,1
bestpractice,1
bestseller,1
bestsellers,1
betray,1
better,17
betterbehaved,1
bewildering,1
beyond,9
bias,1
biased,3
biases,1
bible,2
bicycles,1
big,12
bigcity,2
bigfirm,1
bigger,4
biggest,1
billboard,1
billion,6
billions,1
bills,1
bilski,3
bin,1
bind,1
bioeconomy,1
biographer,1
biological,5
biologically,2
biologist,1
biologists,1
biology,1
biomedical,1
biophiliaa,1
biostatistician,1
biotic,2
bipedal,1
bird,2
birds,4
birth,4
birthright,1
bit,1
bite,1
bizarre,1
black,1
blacking,2
blame,3
blamed,1
blaming,1
blank,12
blanks,7
bleak,1
bleaker,1
bless,1
blessing,1
blew,1
blocks,1
blog,1
blogged,1
blood,1
bloodlines,1
bloodstream,1
blue,1
blunder,1
board,9
boards,3
boas,4
bob,3
bodies,4
bodily,2
body,10
bonding,1
bone,1
boneshowing,1
book,13
booking,2
books,6
boom,1
boost,2
boosting,2
boot,1
borders,1
born,5
borne,1
borrow,1
boson,2
boston,1
bother,1
bothered,1
bottom,2
bought,2
boulez,1
bound,2
boundaries,1
box,2
boxes,3
boy,1
boycott,1
boycotting,1
boys,1
boz,2
brain,9
brains,2
brand,1
branding,1
brands,2
bravery,1
breadth,1
break,1
breaking,2
breaks,4
breakthrough,1
breast,1
breath,1
brendon,2
brexit,2
bribery,1
bride,1
brief,1
briefly,10
briefs,1
bright,2
bring,8
brings,2
britain,10
british,13
britney,1
britons,1
broad,3
broadcasting,1
broader,4
broadernorms,1
broadest,1
broadly,1
broken,1
brooklyn,1
brooks,3
brought,9
brownpaper,1
browser,1
browsers,1
bruising,1
buddhist,1
budding,1
budget,1
budgets,1
build,5
building,4
buildings,1
built,2
bulbs,1
bulid,1
bulk,1
bullock,2
bureaucratic,2
bureaucrats,1
buried,3
burn,1
burns,1
business,25
businesses,4
businessfriendly,1
businessmethod,11
butterfly,1
buy,8
buyer,1
buyers,3
buzzfeed,1
bypass,1
byproduct,1
c,426
ca,5
cafes,1
cake,1
calculated,1
calculating,1
california,8
call,5
called,7
calling,2
calls,7
calm,1
calories,1
cambodia,1
came,9
cameron,1
campaign,5
campaigns,1
campus,2
canal,1
cancer,1
candidate,3
candidates,1
candle,1
canon,1
capabilities,1
capable,5
capacity,8
capital,1
capitalism,1
capture,1
captured,1
car,2
cardus,3
care,5
cared,1
career,2
careers,2
careful,2
carefully,14
carey,1
carl,1
carlos,4
carnegie,2
carolina,1
carried,3
carrier,1
carriers,1
carries,1
carry,6
carryon,1
carter,2
carved,1
cascade,1
cascadesthe,1
case,21
casebefore,1
cased,1
cases,5
cast,1
casting,1
casual,3
cat,1
catch,2
catchingup,1
categories,4
category,4
catered,1
catering,1
caters,1
catoons,1
caught,2
cause,4
caused,2
causes,3
causing,1
caution,2
cautious,2
cautiousness,2
ccpoa,1
cd,2
ceased,1
ceases,1
celebrate,1
celebrated,1
celebrates,1
celebrities,3
celebrity,6
cell,1
cellphone,1
cells,2
cement,1
center,1
centered,1
centers,1
central,4
centuries,2
century,15
ceo,7
ceos,3
ceremonial,1
ceremonies,1
ceremony,1
certain,13
certainly,2
cfw,1
chains,1
chairman,2
challenge,9
challenged,1
challenges,10
chamberlain,2
chance,8
chancellor,3
chances,2
change,36
changeable,1
changed,15
changes,15
changing,4
channel,2
channels,1
chaos,1
character,7
characteristic,1
characteristics,4
characterizations,1
characterized,4
characters,2
charge,4
charles,7
charlie,1
charter,3
chatter,1
chauvinistic,1
cheap,1
check,9
checkedbaggage,1
checks,3
chemical,1
chemicals,5
cherish,1
cherrytreechopping,1
chicago,2
chief,8
chiefs,1
child,9
childbirth,1
childhood,1
childless,3
children,15
chinese,9
chineseyour,1
choice,4
choices,6
chomsky,2
choose,18
choosing,17
chosen,5
chrome,1
chromosome,1
chronic,2
chronicle,1
chumlea,1
church,2
churched,1
churchimportant,1
cigarettes,1
cigars,1
circle,1
circuit,6
circulation,4
circumstances,8
cite,1
cited,3
cities,1
citigroup,1
citing,1
citizenry,1
citizens,4
citizenship,1
city,12
civil,5
civility,1
civilization,1
claim,8
claimant,1
claimants,2
claimed,5
claiming,2
claims,10
claire,1
clamp,1
clarence,1
clarify,1
clarity,2
class,3
classical,7
classicalmusic,4
classmates,1
clause,1
clean,3
cleaning,1
clear,9
clearer,1
clearly,10
clears,1
clergyman,1
clerk,1
click,1
clients,4
climate,5
climbing,1
cline,6
cling,1
clip,1
cloaking,1
clock,2
clocked,1
close,5
closely,2
closer,1
closest,5
clothes,1
clothesand,1
clothing,1
cloud,3
club,5
clubs,1
clues,2
clumplike,1
coaches,1
coast,2
coats,1
cochran,2
code,3
codependencies,1
coexistence,1
cognitive,3
cohen,1
coherent,5
coinciding,1
cold,3
colds,1
collaborative,3
collaboratively,1
collapse,1
collapsed,2
collapses,1
colleagues,4
collect,2
collected,2
collecting,2
collection,6
collections,2
collective,6
college,5
colleges,2
colonial,2
colonies,2
colonists,1
color,1
colorful,1
colors,1
columbia,1
combat,2
combative,1
combed,1
combine,1
combined,3
combines,2
come,15
comes,5
comfort,1
comic,2
coming,5
commands,1
comment,1
commenting,1
comments,13
commercial,6
commercials,1
commission,5
commissioner,1
commit,1
commitment,1
commitments,2
committing,1
commodities,1
common,16
commonalities,1
commonly,2
commonness,2
commons,1
communicate,1
communication,3
communications,1
communities,1
community,16
compact,1
companies,15
company,18
comparable,1
comparative,1
comparatively,2
compare,3
compared,10
compares,1
comparison,2
compelling,1
compensating,1
compensatory,1
compete,2
competence,1
competing,1
competition,5
competitive,5
competitors,2
complain,2
complained,1
complaint,1
complaints,2
complementary,1
complete,4
completely,3
completes,1
complex,7
complexes,1
complexity,2
complicated,2
complied,1
complies,2
comply,1
component,1
compose,1
composers,1
compositions,5
composure,2
comprehend,1
comprehension,12
comprehensive,2
compromise,1
compromised,2
compromises,3
computer,9
computers,2
computing,1
concealed,1
conceivably,1
conceive,1
conceived,1
concentrate,1
concept,3
conception,1
conceptions,2
concepts,1
concern,5
concerned,3
concerns,6
concernsdebates,1
concert,1
concertgoers,2
concerts,1
concessions,1
concisely,1
conclude,2
concluded,3
concludes,3
concluding,4
conclusions,1
concrete,3
concreted,1
condemning,1
condition,6
conditional,2
conditioned,1
conditioning,1
conditions,6
conduct,7
conducted,2
conducting,2
conductor,2
conductors,1
conference,1
confide,1
confidence,2
confident,2
confirm,2
confirmation,1
conflict,4
conflicted,2
conflicts,1
confront,1
confrontation,1
confronted,1
confronting,1
confuse,1
confusing,2
confusion,1
congress,11
congressional,2
conjunction,1
connect,1
connected,2
connection,1
connections,5
connects,1
connotation,1
conscience,1
conscious,6
consciously,1
consequence,2
consequences,7
consequently,3
conservation,4
conservative,5
conservatives,2
consider,8
considerable,4
considerably,2
considerate。,1
consideration,1
considerations,1
considered,6
considering,5
considers,2
consist,1
consisted,1
consistent,2
consistently,2
consolidated,1
conspiracy,1
conspiring,1
constant,3
constantly,2
constituent,1
constituents,2
constitution,11
constitutional,4
constitutionality,1
constrain,1
constrained,1
constraints,3
constraintsreaders,1
constructed,1
construction,4
constructions,1
constructs,1
consultant,1
consume,1
consumed,1
consumer,2
consumeractivist,1
consumers,17
consumes,1
consuming,1
consumption,6
contact,4
contain,2
contained,1
contains,1
contempt,1
contemptible,1
contemptuous,2
contends,1
content,4
contention,1
contents,7
contest,2
contested,1
context,5
contextual,1
continent,2
continually,1
continuance,1
continue,6
continued,3
continues,1
continuing,3
continuity,1
continuous,1
contract,1
contracted,1
contracts,1
contradicted,1
contrary,3
contrast,3
contribute,2
contributed,1
contributes,2
contributing,3
contribution,2
contributions,1
contributory,1
control,9
controllable,1
controlled,2
controlling,2
controls,1
controversial,3
controversies,1
controversy,3
convention,1
conventional,4
conventions,1
conversation,1
conversely,1
convert,1
converted,1
converys,1
convey,1
conveyed,2
convicting,1
conviction,2
convinced,2
convincing,4
convincingly,1
cook,1
cooling,1
cooperate,2
cooperating,1
cooperation,1
coordination,1
copan,2
cope,2
coping,2
copy,2
copyright,1
core,2
corporate,1
corporation,1
correct,2
corrections,1
correctly,4
correspondence,1
correspondences,1
corresponds,1
corruption,5
corruptive,1
cosmos,1
cost,5
costly,1
costs,9
cote,1
cotton,1
could,44
coulson,2
council,1
councils,1
count,1
counted,1
counterbalances,1
countere,1
counterparts,3
counting,1
countries,21
country,9
countryside,2
countrysidealongside,1
counts,1
couple,3
couples,2
courage,3
courageous,2
course,6
courses,1
court,36
courts,1
courtship,1
cousins,2
cover,4
coverage,1
covered,4
cowgill,1
crabbed,1
cracking,1
craft,2
crafted,1
crafting,1
crafts,1
crash,2
create,11
created,7
creates,1
creating,3
creation,4
creations,1
creative,6
creativity,2
creatures,2
credibility,6
credible,3
credit,1
crescendo,1
crete,1
cricket,1
cried,1
crime,3
criminal,2
crisis,8
criteria,2
criterion,1
critic,4
critical,4
criticism,16
criticize,1
criticizeacademic,1
criticizes,2
critics,8
critique,2
crops,2
crosscutting,1
crossed,1
crouch,1
crown,1
crucial,4
crude,1
cruelty,1
cry,1
cues,1
cultivate,1
cultivation,1
cultural,11
culture,28
cultureknown,1
cultures,4
cunning,1
curb,2
curbs,1
cure,8
curiosity,3
curious,2
current,8
currently,1
curricula,1
curriculum,1
cursory,1
curve,1
customer,2
customers,7
customs,2
cut,6
cute,1
cutting,1
cv,1
cycles,1
cyclic,1
daa,1
dad,1
dailies,2
daily,5
damage,1
damaged,3
damages,1
damaging,2
dampen,1
dams,1
dance,1
dane,4
danger,1
dangerous,1
dangerously,1
danish,2
dare,3
darkness,1
darwin,3
darwinian,1
darwinism,1
data,15
database,2
databases,1
date,2
dating,1
daughter,1
david,5
dawn,1
dawna,1
day,10
dayjobs,1
days,13
daytoday,1
dazzlingly,1
dead,1
deal,5
dealers,1
dealexcept,1
dealing,3
dealings,1
deals,3
dealsays,1
dealt,1
dearth,3
death,3
debate,1
debates,1
debatesometime,1
debt,5
debts,3
decade,8
decades,5
decadesthe,1
december,1
deceptiveness,1
decide,6
decided,3
decider,1
decision,11
decisionmakers,1
decisions,8
decisive,1
decisiveness,1
decline,9
declining,1
decoration,1
decrease,1
decreases,1
decreasing,1
dedicated,1
deemed,3
deep,3
deeper,1
deepest,1
deeply,1
default,5
defeat,1
defeats,1
defence,1
defendants,2
defended,1
defense,1
defensible,1
defensive,1
deference,1
defied,2
define,5
defined,5
defines,1
defining,3
definitely,1
definition,1
degraded,1
degree,11
degrees,3
delay,1
delayed,1
delete,1
deleting,1
deletions,1
deliberate,1
deliberately,3
delicate,1
delight,3
delighted,1
deliver,1
delivers,1
delivery,1
demand,11
demanded,1
demanding,1
demands,4
democracies,1
democracy,1
democratic,2
democrats,3
demographic,1
demonstrate,2
demonstrated,1
demonstrates,1
demonstration,1
demoralization,1
denied,2
denmark,3
dennis,2
dense,2
density,1
dental,1
dentist,1
deny,2
departed,1
department,1
departments,1
departure,1
depend,3
depended,1
dependency,3
dependent,1
dependents,1
depending,2
depends,4
depression,1
deprived,3
depth,1
deputy,1
derided,1
derives,2
descendants,1
descended,1
describe,13
described,8
describes,2
describing,1
description,1
descriptions,1
deserve,3
deserves,1
deserving,1
design,3
designed,4
designers,1
desirable,1
desire,7
desk,1
desks,1
desperate,1
despite,9
destiny,1
destroyed,1
destruction,1
detached,1
detail,3
detailed,1
details,3
detect,1
detectors,1
deter,1
determine,3
determined,2
determining,1
devastating,1
develop,5
developed,5
developers,1
developing,7
developingmuch,1
development,20
developments,1
device,2
devices,1
devil,1
devoted,3
dichens,1
dicken,3
dickens,15
dictates,1
died,1
diego,1
dies,1
diet,1
dieting,3
differ,2
difference,7
differences,2
different,27
difficult,7
difficulty,5
diffuse,1
diffused,1
diffusionism,2
diffusionists,1
digg,1
digging,3
digital,8
digitalonly,1
dignity,1
digs,1
dilemma,1
diligent,1
dimensions,2
diminish,2
diminishes,1
diminishing,1
dimmed,1
dimmer,1
dinner,1
diplomacy,1
direct,3
directed,1
direction,2
directions,55
directions：,3
directious,1
directive,1
directly,7
director,2
dirtcheap,2
disagreed,1
disagrees,1
disappeared,2
disappearing,1
disappointed,1
disapproval,3
disassemble,1
disaster,1
disbelief,1
discarding,1
discernable,1
discernible,1
disciplinary,1
disciplined,1
disciplineoriented,1
disciplines,3
disclaimed,1
disconnected,1
discontinue,2
discourse,1
discover,2
discovered,6
discoverer,1
discoveries,4
discovering,1
discovery,19
discuss,1
discusses,3
discussion,1
disease,2
diseases,3
disgrace,2
dishonoring,1
disks,1
dismissed,2
disorders,2
disorganized,1
display,1
displays,2
displeasure,1
disposablemeant,1
disposition,1
dispositions,1
disproportionately,1
disputable,1
dispute,3
disregard,2
disrespect,1
disruptive,2
dissatisfaction,1
dissatisfactions,1
distance,1
distant,1
distaste,1
distasteful,1
distinction,1
distinctive,1
distinctively,1
distinctly,4
distinguish,1
distinguished,1
distort,1
distorted,2
distributed,2
distribution,5
district,1
disturbed,1
diverse,3
diversity,2
diverting,1
divided,1
divisions,1
divorce,1
divorced,1
divorces,1
dna,11
dnt,14
doctor,3
doctoral,4
doctors,1
doctrine,2
documents,1
dollars,1
domain,1
domestic,4
dominance,1
dominant,5
dominate,1
dominated,3
donahue,2
donated,1
donation,1
done,9
doom,1
doors,1
dormant,1
dose,3
doses,1
dothat,1
double,1
doubling,1
doubt,8
doubted,1
doubtful,2
doubtless,1
doubts,2
doug,1
downed,1
downgraded,1
download,3
downloading,6
downside,1
dozen,1
dr,8
draft,7
drag,1
dramatic,2
dramatically,2
draw,3
drawing,19
drawn,2
drawnout,1
draws,1
dream,1
dreams,1
dress,1
drink,6
drive,5
driven,2
driving,1
drop,3
dropped,1
drugs,1
drugstore,1
due,10
duly,1
dumb,1
duplication,1
durable,1
durkheim,2
dust,1
duster,1
dutchmen,1
duties,2
duty,2
dwarf,1
dwellers,1
dwellings,1
dyes,1
dynamics,7
e,13
eager,1
eagerness,3
earlier,5
early,15
earn,2
earned,7
earnestness,1
earnings,1
earns,1
easch,1
ease,2
easier,9
easily,8
easing,1
east,1
easy,4
eat,3
eating,2
ecologically,1
ecommerce,4
econometric,1
economic,34
economies,1
economists,3
economy,2
ecosystems,1
ed,1
editing,2
edition,3
editor,2
editorial,1
editorinchief,1
editors,8
educated,4
educating,1
education,49
educational,3
educations,1
educators,1
effect,14
effected,1
effective,4
effectively,6
effectiveness,1
effects,8
efficiency,2
efficient,2
effort,7
efforts,8
egregiously,1
egypt,3
egyptian,1
eighteenth,1
either,6
elaborate,1
elected,3
election,2
electoral,1
element,2
elements,3
elevation,1
eligible,2
eliminate,3
eliminated,1
eliot,1
elisabeth,2
elites,1
elitism,1
elizabeth,1
ellen,1
elliot,1
else,10
elsewhere,5
email,7
emails,1
embarking,1
embarrassing,2
embarrassment,1
embed,1
embodies,1
embodiment,1
embody,2
embrace,2
embraced,1
emerged,1
emerges,2
emerging,5
emigrated,1
emigrationone,1
emotion,1
emotional,2
emotions,2
emphasis,2
emphasize,3
emphasized,1
emphasizes,2
empirical,1
employ,2
employed,1
employer,1
enable,2
enabling,1
enacted,1
encounter,1
encourage,5
encouraged,1
encouragement,2
encourages,2
encouraging,1
end,23
endeavor,2
endeavors,2
ended,4
ending,1
endorse,1
endurance,1
endure,1
endured,1
enemies,1
energy,5
enforce,1
enforced,1
enforcement,8
enforces,1
engage,2
engaged,1
engagement,3
engaging,1
engine,1
engineer,1
engineered,2
engines,1
england,16
englanders,4
english,28
englishlanguage,2
englishmen,1
englishspeaking,1
engraved,1
engravings,1
enhance,4
enhanced,2
enhancement,1
enhances,1
enjoy,4
enjoyed,1
enjoyment,1
enlarged,1
enlarging,1
enlightening,3
enlist,1
enormous,3
enough,18
enraged,2
enroll,2
enrollment,1
enslavement,1
ensure,4
ensures,1
ensuring,2
entail,1
entered,1
entergy,12
entering,3
enterprise,1
entertaining,2
enthusiasm,3
enthusiastic,2
enthusiastically,1
entire,7
entirely,2
entities,1
entitled,2
entitlement,1
entrance,1
entrenched,1
entrepreneurs,4
envelope,1
enviable,1
environment,18
environmental,4
environmentfriendly,1
environmentincluding,1
environments,3
envisage,1
envisioned,2
envy,1
epidemic,2
epidemics,5
episodes,1
equal,6
equality,2
equally,1
equals,1
equation,1
equipment,2
equipped,1
equivalent,2
era,1
eradicate,1
erased,1
ernest,1
eroica,1
errand,1
erroneous,1
error,1
errors,4
erupted,1
escape,5
especially,15
essay,19
essays,1
essence,1
essential,7
essentially,2
establish,1
established,5
establishment,3
esteem,1
esteemed,1
estimate,1
estimated,1
etc,1
ethic,1
ethical,3
ethically,1
ethics,3
ethnic,1
ethnicity,1
eu,1
euroelections,1
europe,15
european,16
europeans,1
evade,3
evaluate,2
evaluation,2
evan,1
evans,1
eve,1
even,47
evening,1
event,2
events,4
eventually,5
eventurally,1
ever,7
everbright,1
everchanging,1
evergrowing,1
everlasting,1
evertougher,1
every,21
everybody,2
everyday,2
everyone,6
everything,4
everythinga,1
everywhere,1
evidence,13
evidencebased,1
evident,2
evil,1
evolution,12
evolutionary,3
evolved,2
evolving,1
exactlly,1
exactly,2
exaggerate,1
exaggerated,1
exam,4
examination,1
examined,3
examinedfrance,1
examing,1
examining,1
example,28
examples,1
excavation,1
excavations,2
excel,1
excellence,2
excellent,1
except,5
excepted,1
exception,2
exceptional,1
exceptions,1
excess,1
excessive,5
excessively,1
exchange,1
exchequer,1
excited,1
exciting,1
excluded,1
excludes,2
exclusionary,1
exclusive,2
exclusively,2
excuses,2
executive,3
executives,6
exemplify,1
exempt,1
exercise,8
exert,1
exhausts,1
exhibits,1
exist,3
existed,1
existence,4
existing,5
exists,2
exit,1
expand,2
expanding,2
expands,3
expansion,2
expect,4
expectation,2
expected,3
expects,1
expedited,1
expenses,2
expensive,4
experience,12
experiencea,1
experienced,3
experiences,6
experiment,3
experimentation,1
experimented,2
experiments,6
expert,1
experts,5
explain,13
explained,1
explaining,1
explains,5
explanation,2
explanations,1
explicatory,1
explicit,3
explicitly,2
exploit,2
exploitation,1
exploration,3
explorations,1
explore,4
explorer,2
explores,1
exploring,4
explosion,2
exports,1
exposed,8
exposure,1
express,5
expressed,5
expressing,1
expression,6
expressions,1
extend,2
extended,2
extension,3
extensive,1
extensively,1
extent,4
external,4
extra,9
extracted,2
extraction,1
extraordinarily,2
extraordinary,1
extravagant,1
extreme,2
extremely,1
eye,2
eyes,1
f,12
fabulous,1
face,6
faced,3
faces,1
facilitates,2
facilities,1
facing,3
fact,12
factor,3
factories,2
factors,10
factory,3
facts,2
faculty,1
fad,1
fade,1
fades,1
fading,1
fail,4
failed,7
failing,1
fails,5
failure,1
failures,1
faint,1
faintly,1
fair,6
fairly,3
fairness,3
faith,2
faithful,1
faithfulness,1
fake,1
fall,1
fallen,1
falling,1
false,1
falsehood,1
falsely,1
fame,2
familiar,3
families,6
family,14
famous,3
fan,1
fanshing,1
fantastic,1
fantasy,1
far,14
farmers,1
farming,1
faroff,1
farreaching,2
farther,1
fasb,4
fascination,1
fashion,21
fast,3
faster,2
fastfashion,3
fat,2
fatal,1
fate,1
father,9
fathered,1
fatherly,1
fathers,2
favor,6
favorable,1
favorite,2
favorites,1
favoritism,4
favors,1
favourably,1
favours,2
fear,6
feared,1
fearful,1
fearsome,1
fearsomely,1
feasible,1
feats,1
feature,4
features,5
february,1
federal,33
federalstate,1
feed,2
feedback,2
feel,10
feeling,2
feelings,1
feels,1
fees,3
feet,2
fell,2
fellow,1
felt,4
female,2
females,1
ferrari,1
fertilizers,1
festival,1
fetch,1
fetch。,1
feverish,2
fewer,4
fiction,3
field,1
fields,4
fiercer,1
fifths,1
fight,3
fighting,2
figure,2
figures,8
filer,1
files,1
filing,1
filings,1
fill,1
filled,2
filling,3
fills,1
film,1
filmmaking,1
films,1
filter,1
final,2
finally,3
finance,2
financial,12
financially,1
find,15
finding,7
findings,5
finds,4
fine,1
finegrained,1
finish,2
firm,5
firms,5
first,51
firsttimers,1
fish,1
fisheating,1
fisher,1
fist,1
fit,12
fitness,1
fits,1
fittest,1
fitting,1
five,5
fixed,1
flagged,2
flagship,1
flaw,2
flawed,3
flaws,1
fled,1
fleeting,1
flesh,1
flew,1
flexibility,5
flexible,2
flexibly,1
flies,1
flight,2
float,1
flourishing,1
flow,5
flowing,1
flows,1
flu,1
fluctuate,2
fluency,1
fly,1
flying,1
foals,1
focus,5
focused,2
focuses,1
focusing,2
fog,1
fold,1
folding,1
folk,2
folks,2
follow,7
followed,4
following,84
follows,5
fond,1
food,18
foot,1
force,5
forced,6
forces,1
forcesthe,1
forcing,2
forecast,1
forecasted,1
forecasts,1
foreign,3
foremost,1
foresee,1
foreseeable,2
foreshadows,1
foresight,1
foresightedane,1
forest,2
forested,1
foresters,1
forestry,1
forever,2
forget,2
forgetting,1
forgot,1
forgotten,1
form,12
formal,9
formally,1
format,1
formation,1
formed,3
former,6
formerly,2
formidable,1
forming,1
forms,6
formula,1
fors,1
forth,1
fortnightly,1
fortunate,1
fortunes,1
forty,1
forward,6
fossil,1
fosters,1
fought,1
found,16
foundation,3
foundations,1
founded,2
founders,3
founding,3
four,14
fourfold,1
fourth,5
fouryear,1
fowler,1
fraction,1
fragile,2
fragmented,2
fragments,1
frame,1
framers,1
frames,2
framework,2
france,4
franco,1
frank,1
franz,1
free,8
freed,2
